"root","name","path","profile","isGitRepo","hasGitignore","hasPom","hasGradle","hasPackageJson","hasVite","hasNext","hasNuxt","hasIdea","hasVSCode"
"IdeaProjects","AFSIMDoc","D:\IdeaProjects\AFSIMDoc","generic-idea","True","True","False","False","False","False","False","False","True","False"
"IdeaProjects","AIEnv","D:\IdeaProjects\AIEnv","java-gradle","False","True","False","True","False","False","False","False","True","False"
"IdeaProjects","code","D:\IdeaProjects\code","generic-idea","False","False","False","False","False","False","False","False","False","False"
"IdeaProjects","Docs","D:\IdeaProjects\Docs","generic-idea","True","False","False","False","False","False","False","False","True","False"
"IdeaProjects","focess-api","D:\IdeaProjects\focess-api","java-gradle","True","True","False","True","False","False","False","False","True","False"
"IdeaProjects","FocessCommand","D:\IdeaProjects\FocessCommand","java-maven","True","True","True","False","False","False","False","False","True","False"
"IdeaProjects","FocessQQ","D:\IdeaProjects\FocessQQ","java-maven","True","True","True","False","False","False","False","False","True","False"
"IdeaProjects","FocessScheduler","D:\IdeaProjects\FocessScheduler","java-maven","True","True","True","False","False","False","False","False","True","False"
"IdeaProjects","focess_top_backend","D:\IdeaProjects\focess_top_backend","java-gradle","True","True","False","True","False","False","False","False","True","False"
"IdeaProjects","jamming","D:\IdeaProjects\jamming","generic-idea","True","True","False","False","False","False","False","False","True","False"
"IdeaProjects","keystead","D:\IdeaProjects\keystead","java-gradle","True","True","False","True","False","False","False","False","True","False"
"IdeaProjects","keystead-client","D:\IdeaProjects\keystead-client","java-gradle","False","True","False","True","False","False","False","False","True","False"
"IdeaProjects","keystead-server","D:\IdeaProjects\keystead-server","java-gradle","True","True","False","True","False","False","False","False","True","False"
"IdeaProjects","Radar","D:\IdeaProjects\Radar","generic-idea","False","False","False","False","False","False","False","False","True","False"
"IdeaProjects","RadarCorrection","D:\IdeaProjects\RadarCorrection","generic-idea","True","True","False","False","False","False","False","False","True","False"
"IdeaProjects","RadarCorrection2","D:\IdeaProjects\RadarCorrection2","generic-idea","True","True","False","False","False","False","False","False","True","False"
"IdeaProjects","untitled","D:\IdeaProjects\untitled","generic-idea","False","True","False","False","False","False","False","False","True","False"
"IdeaProjects","veto","D:\IdeaProjects\veto","java-gradle","True","True","False","True","False","False","False","False","True","False"
"WebstormProjects","focess_api_backend","D:\WebstormProjects\focess_api_backend","frontend-vite","True","True","False","False","True","True","False","False","True","False"
"WebstormProjects","focess_top_frontend","D:\WebstormProjects\focess_top_frontend","frontend-vite","True","True","False","False","True","True","False","False","True","False"
"WebstormProjects","postgenerator","D:\WebstormProjects\postgenerator","frontend-vite","True","True","False","False","True","True","False","False","True","False"
"WebstormProjects","untitled","D:\WebstormProjects\untitled","frontend-vite","True","False","False","False","True","False","False","False","True","False"
"WebstormProjects","veto-ui","D:\WebstormProjects\veto-ui","frontend-vite","True","True","False","False","True","True","False","False","True","False"
